,最近一次补货时间,机器编号,补货周期,当前库存,补货前1个小时库存,补货配货差,时间差,补货配货差范围,时间差范围
58,2021-07-01,7551405.0,6.0,163.0,163.0,0.0,17.546944444533437,0-5,10-20
59,2021-06-28,7551411.0,6.0,115.0,115.0,0.0,18.16638888901798,0-5,10-20
60,2021-07-01,59210365.0,6.0,91.0,91.0,0.0,11.110555555613246,0-5,10-20
61,2021-06-27,1010267.0,9.0,59.0,59.0,0.0,12.210833333374467,0-5,10-20
62,2021-06-27,1010275.0,6.0,58.0,58.0,0.0,14.329444444505498,0-5,10-20
63,2021-07-02,1010293.0,6.0,50.0,50.0,0.0,15.09583333338378,0-5,10-20
64,2021-06-27,1010304.0,6.0,39.0,39.0,0.0,14.519444444566034,0-5,10-20
65,2021-06-30,1010319.0,6.0,45.0,45.0,0.0,15.453055555641185,0-5,10-20
66,2021-06-30,1010361.0,6.0,68.0,68.0,0.0,10.563888888980728,0-5,10-20
67,2021-07-01,1010437.0,6.0,65.0,65.0,0.0,22.901666666788515,0-5,20-30
68,2021-06-27,1010449.0,6.0,48.0,48.0,0.0,18.20722222229233,0-5,10-20
69,2021-06-27,1010547.0,6.0,107.0,107.0,0.0,14.875555555627216,0-5,10-20
70,2021-07-01,1010569.0,6.0,37.0,37.0,0.0,11.41638888901798,0-5,10-20
71,2021-06-28,1010579.0,6.0,52.0,52.0,0.0,10.253333333472256,0-5,10-20
72,2021-06-30,1010582.0,6.0,100.0,100.0,0.0,10.41305555566214,0-5,10-20
73,2021-06-29,2010081.0,6.0,69.0,69.0,0.0,9.118055555562023,0-5,0-10
74,2021-07-02,2010157.0,12.0,41.0,41.0,0.0,10.58500000013737,0-5,10-20
75,2021-06-30,2010168.0,12.0,72.0,72.0,0.0,10.256388888868969,0-5,10-20
76,2021-07-01,2010172.0,12.0,127.0,127.0,0.0,11.023611111100763,0-5,10-20
77,2021-06-27,2010266.0,6.0,71.0,71.0,0.0,9.940555555571336,0-5,0-10
78,2021-06-29,2010271.0,12.0,79.0,79.0,0.0,10.490555555617902,0-5,10-20
79,2021-06-30,2010276.0,12.0,82.0,82.0,0.0,9.5619444444892,0-5,0-10
80,2021-06-30,2010277.0,12.0,80.0,80.0,0.0,8.565833333472256,0-5,0-10
81,2021-07-01,2010279.0,6.0,66.0,66.0,0.0,20.658611111110076,0-5,20-30
82,2021-06-30,2010282.0,6.0,80.0,80.0,0.0,23.91472222219454,0-5,20-30
83,2021-07-01,2010286.0,6.0,92.0,92.0,0.0,15.242222222266719,0-5,10-20
84,2021-06-29,2010295.0,6.0,104.0,104.0,0.0,15.438888888980728,0-5,10-20
85,2021-07-02,2110393.0,3.0,112.0,112.0,0.0,20.23416666680714,0-5,20-30
86,2021-06-29,2110451.0,6.0,57.0,57.0,0.0,16.685000000114087,0-5,10-20
87,2021-06-27,2110470.0,9.0,46.0,46.0,0.0,58.56444444449153,0-5,50-80
88,2021-06-27,2110471.0,9.0,54.0,54.0,0.0,13.64611111121485,0-5,10-20
89,2021-06-30,2110501.0,9.0,86.0,86.0,0.0,12.057222222327255,0-5,10-20
90,2021-06-30,2110587.0,6.0,55.0,55.0,0.0,19.410000000090804,0-5,10-20
91,2021-07-02,2110612.0,12.0,64.0,64.0,0.0,10.953888888994697,0-5,10-20
92,2021-06-29,2110617.0,6.0,80.0,80.0,0.0,11.428333333460614,0-5,10-20
93,2021-07-01,2110701.0,9.0,72.0,72.0,0.0,11.18416666664416,0-5,10-20
94,2021-06-27,2110722.0,9.0,53.0,53.0,0.0,18.036111111170612,0-5,10-20
95,2021-07-01,2110813.0,6.0,78.0,78.0,0.0,12.047777777770534,0-5,10-20
96,2021-06-30,2110873.0,9.0,41.0,41.0,0.0,13.098055555543397,0-5,10-20
97,2021-06-28,2110885.0,6.0,37.0,37.0,0.0,10.025277777865995,0-5,10-20
98,2021-06-28,2110908.0,6.0,38.0,38.0,0.0,18.85027777781943,0-5,10-20
99,2021-06-27,2110922.0,9.0,34.0,34.0,0.0,18.99750000005588,0-5,10-20
100,2021-06-28,2110988.0,6.0,67.0,67.0,0.0,12.036388889013324,0-5,10-20
101,2021-06-30,2111021.0,12.0,43.0,43.0,0.0,17.231111111235805,0-5,10-20
102,2021-06-27,2111083.0,6.0,64.0,64.0,0.0,14.985555555671453,0-5,10-20
103,2021-06-29,2111095.0,6.0,68.0,68.0,0.0,12.009166666714009,0-5,10-20
104,2021-06-27,2111098.0,6.0,63.0,63.0,0.0,11.973055555543397,0-5,10-20
105,2021-07-02,2111114.0,6.0,54.0,54.0,0.0,18.838611111219507,0-5,10-20
106,2021-07-02,2111131.0,3.0,68.0,68.0,0.0,16.78361111122649,0-5,10-20
107,2021-06-29,2111141.0,6.0,64.0,64.0,0.0,19.15027777774958,0-5,10-20
108,2021-06-29,2310164.0,7.0,71.0,71.0,0.0,15.975555555545725,0-5,10-20
109,2021-06-27,2510153.0,6.0,74.0,74.0,0.0,14.626111111196224,0-5,10-20
110,2021-06-30,2510158.0,9.0,73.0,73.0,0.0,13.064722222276032,0-5,10-20
111,2021-06-27,2510167.0,9.0,56.0,56.0,0.0,12.976666666741949,0-5,10-20
112,2021-06-27,2510202.0,6.0,77.0,77.0,0.0,17.82750000001397,0-5,10-20
113,2021-07-02,2510203.0,9.0,54.0,54.0,0.0,17.704166666662786,0-5,10-20
114,2021-06-30,2510219.0,3.0,98.0,98.0,0.0,18.631944444437977,0-5,10-20
115,2021-06-29,2510222.0,6.0,68.0,68.0,0.0,13.635833333304618,0-5,10-20
116,2021-06-29,2510242.0,12.0,122.0,122.0,0.0,13.786666666797828,0-5,10-20
117,2021-06-27,2510244.0,6.0,84.0,84.0,0.0,15.554444444482215,0-5,10-20
118,2021-06-27,2510245.0,6.0,74.0,74.0,0.0,15.830000000016298,0-5,10-20
119,2021-06-27,2510246.0,6.0,88.0,88.0,0.0,15.541111111175269,0-5,10-20
120,2021-06-27,2510253.0,6.0,83.0,83.0,0.0,202.75388888886664,0-5,80以上
121,2021-06-28,2510258.0,6.0,76.0,76.0,0.0,16.168333333334886,0-5,10-20
122,2021-06-27,2710115.0,9.0,67.0,67.0,0.0,17.723611111112405,0-5,10-20
123,2021-06-28,2710130.0,9.0,64.0,64.0,0.0,17.981666666746605,0-5,10-20
124,2021-06-27,2710160.0,9.0,58.0,58.0,0.0,21.34444444446126,0-5,20-30
125,2021-06-30,2710169.0,9.0,52.0,52.0,0.0,18.732500000100117,0-5,10-20
126,2021-06-29,2710217.0,6.0,73.0,73.0,0.0,13.569166666769888,0-5,10-20
127,2021-07-02,2710219.0,3.0,84.0,84.0,0.0,14.515000000130385,0-5,10-20
128,2021-07-01,2710226.0,6.0,39.0,39.0,0.0,14.591944444575347,0-5,10-20
129,2021-06-28,2710227.0,6.0,110.0,110.0,0.0,14.803611111128703,0-5,10-20
130,2021-07-02,2810170.0,12.0,47.0,47.0,0.0,14.048333333339542,0-5,10-20
131,2021-07-01,2810214.0,6.0,106.0,106.0,0.0,14.07638888899237,0-5,10-20
132,2021-06-29,2810257.0,9.0,57.0,57.0,0.0,11.84194444451714,0-5,10-20
133,2021-07-02,2810261.0,9.0,48.0,48.0,0.0,11.268055555585306,0-5,10-20
134,2021-07-01,2810286.0,12.0,93.0,93.0,0.0,17.52750000008382,0-5,10-20
135,2021-07-01,2810289.0,12.0,73.0,73.0,0.0,13.658333333325572,0-5,10-20
136,2021-06-30,2810344.0,3.0,83.0,83.0,0.0,13.72750000009546,0-5,10-20
137,2021-06-30,2810368.0,9.0,55.0,55.0,0.0,17.804444444482215,0-5,10-20
138,2021-06-28,2810398.0,6.0,60.0,60.0,0.0,11.964722222357523,0-5,10-20
139,2021-07-01,2810420.0,6.0,56.0,56.0,0.0,14.776111111161299,0-5,10-20
140,2021-06-29,2810423.0,6.0,80.0,80.0,0.0,14.774444444454275,0-5,10-20
141,2021-06-27,2810424.0,6.0,101.0,101.0,0.0,18.397777777863666,0-5,10-20
142,2021-07-01,2810432.0,6.0,38.0,38.0,0.0,19.633055555575993,0-5,10-20
143,2021-06-29,2810449.0,12.0,101.0,101.0,0.0,19.611666666751262,0-5,10-20
144,2021-06-29,2810450.0,12.0,88.0,88.0,0.0,21.24305555562023,0-5,20-30
145,2021-06-29,2810459.0,12.0,96.0,96.0,0.0,18.244722222327255,0-5,10-20
146,2021-06-28,2810485.0,6.0,82.0,82.0,0.0,18.321944444440305,0-5,10-20
147,2021-06-28,2810487.0,6.0,83.0,83.0,0.0,16.609166666690726,0-5,10-20
148,2021-06-28,2810488.0,6.0,51.0,51.0,0.0,15.239166666695382,0-5,10-20
149,2021-07-01,2810492.0,6.0,78.0,78.0,0.0,15.373055555624887,0-5,10-20
150,2021-07-01,2810493.0,6.0,43.0,43.0,0.0,14.505000000062864,0-5,10-20
151,2021-07-02,2810497.0,6.0,47.0,47.0,0.0,12.086388889001682,0-5,10-20
152,2021-07-01,2810499.0,6.0,101.0,101.0,0.0,17.22888888901798,0-5,10-20
153,2021-07-01,2910154.0,3.0,89.0,89.0,0.0,13.35694444453111,0-5,10-20
154,2021-06-28,2910199.0,6.0,120.0,120.0,0.0,12.771944444510154,0-5,10-20
155,2021-06-27,2910271.0,9.0,63.0,63.0,0.0,16.51527777785668,0-5,10-20
156,2021-06-27,2910272.0,9.0,56.0,56.0,0.0,11.140000000130385,0-5,10-20
157,2021-06-29,2910290.0,9.0,59.0,59.0,0.0,11.342777777812444,0-5,10-20
158,2021-06-28,2910314.0,9.0,51.0,51.0,0.0,11.537777777819429,0-5,10-20
159,2021-07-01,2910317.0,3.0,95.0,95.0,0.0,12.149722222296987,0-5,10-20
160,2021-07-01,2910325.0,6.0,48.0,48.0,0.0,15.968888888892252,0-5,10-20
161,2021-07-01,2910326.0,6.0,64.0,64.0,0.0,13.761944444559049,0-5,10-20
162,2021-07-01,2910329.0,6.0,71.0,71.0,0.0,12.626666666648816,0-5,10-20
163,2021-07-01,2910330.0,6.0,60.0,60.0,0.0,12.804722222266719,0-5,10-20
164,2021-06-29,2910334.0,6.0,40.0,40.0,0.0,21.999166666762903,0-5,20-30
165,2021-07-02,2910344.0,6.0,84.0,84.0,0.0,16.108055555610918,0-5,10-20
166,2021-07-02,2910346.0,6.0,59.0,59.0,0.0,16.675555555557366,0-5,10-20
167,2021-07-02,2910348.0,6.0,69.0,69.0,0.0,20.24972222233191,0-5,20-30
