,机器编号,运营时间,订单数量,销售件数,销售金额,购买人数,点位日,点位日均销售额,范围
361,7551438,2021-06-24 16:39:47,53.0,73.0,352.56,37.0,22.0,16.025454545454547,10-20
362,7551439,2021-06-24 15:58:24,69.0,96.0,507.2,38.0,22.0,23.054545454545455,20-30
363,7551440,2021-06-25 17:07:50,34.0,54.0,260.4,20.0,21.0,12.399999999999999,10-20
364,7551441,2021-06-24 15:50:32,45.0,58.0,278.06,28.0,22.0,12.639090909090909,10-20
365,7551442,2021-06-25 11:32:22,118.0,178.0,860.6,78.0,21.0,40.98095238095238,30-50
366,7551443,2021-06-27 12:54:03,30.0,34.0,162.72,23.0,15.0,10.848,10-20
367,7551444,2021-06-28 09:38:20,114.0,175.0,849.15,64.0,16.0,53.071875,50以上
368,7551445,2021-06-27 18:37:35,27.0,30.0,119.3,22.0,19.0,6.278947368421052,0-10
369,7551446,2021-06-28 11:19:51,180.0,227.0,953.66,133.0,18.0,52.98111111111111,50以上
370,7551447,2021-06-30 13:10:17,10.0,11.0,73.0,10.0,16.0,4.5625,0-10
371,7551448,2021-06-29 13:58:43,14.0,14.0,56.3,13.0,17.0,3.3117647058823527,0-10
372,7551449,2021-06-29 14:57:40,19.0,26.0,131.7,16.0,17.0,7.747058823529411,0-10
373,7551450,2021-07-02 20:52:30,29.0,36.0,185.0,24.0,14.0,13.214285714285714,10-20
374,7551451,2021-07-13 14:37:11,13.0,21.0,118.2,7.0,3.0,39.4,30-50
375,7551452,2021-07-13 22:31:36,7.0,8.0,34.8,5.0,3.0,11.6,10-20
376,7551453,2021-07-14 16:28:04,,,,,2.0,,50以上
