,主键,机器编号,销量,销售额,日均销售额,点位日均销量,点位日,件单价,sku动销率,退款率,吐货失败率,缺货率,时间,PCA
140,075513832021-07-04,7551383,127,631.14,90.16,18.142857142857142,7,4.97,0.7273,0.0078,0.0,0.2795,2021-07-05 05:09:47,4.765259398391537
141,025101442021-07-04,2510144,127,628.42,89.77,18.142857142857142,7,4.95,0.8571,0.0,0.0,0.0714,2021-07-05 05:09:47,4.771632821718807
142,0574100532021-07-04,57410053,147,627.9,89.7,21.0,7,4.27,0.7931,0.0,0.0,0.0561,2021-07-05 05:09:47,5.08628843210471
143,0551102512021-07-04,55110251,128,623.4,89.06,18.285714285714285,7,4.87,0.8182,0.0,0.0,0.1096,2021-07-05 05:09:47,4.741486602610297
144,010104902021-07-04,1010490,98,619.67,88.52,14.0,7,6.32,0.6765,0.0101,0.0,0.2523,2021-07-05 05:09:47,3.9581054227911476
145,028103442021-07-04,2810344,138,617.33,88.19,19.714285714285715,7,4.47,0.6957,0.0,0.0,0.1481,2021-07-05 05:09:47,4.758124810088298
146,029102732021-07-04,2910273,85,617.17,88.17,12.142857142857142,7,7.26,0.6,0.0,0.0,0.1173,2021-07-05 05:09:47,3.4069092637420564
147,0551101962021-07-04,55110196,151,616.92,88.13,21.571428571428573,7,4.09,0.913,0.0,0.0,0.1786,2021-07-05 05:09:47,5.47191648640525
148,021103212021-07-04,2110321,142,616.6,88.09,20.285714285714285,7,4.34,0.6957,0.0,0.0,0.2849,2021-07-05 05:09:47,4.99102914450034
149,029103172021-07-04,2910317,138,613.2,87.6,19.714285714285715,7,4.44,0.8,0.0072,0.0,0.0312,2021-07-05 05:09:47,4.792597828181108
150,053210822021-07-04,5321082,97,610.24,87.18,13.857142857142858,7,6.29,0.9091,0.0,0.0,0.0807,2021-07-05 05:09:47,4.136973518884957
151,075513322021-07-04,7551332,78,608.7,86.96,11.142857142857142,7,7.8,0.7692,0.0,0.0,0.127,2021-07-05 05:09:47,3.5391935293028487
152,0574101932021-07-04,57410193,118,608.6,86.94,16.857142857142858,7,5.16,1.0,0.0,0.0,0.0591,2021-07-05 05:09:47,4.722657908142662
153,010104222021-07-04,1010422,128,607.83,86.83,18.285714285714285,7,4.75,0.7083,0.0,0.0,0.1667,2021-07-05 05:09:47,4.5327230440907
154,028102142021-07-04,2810214,119,606.5,86.64,17.0,7,5.1,0.8696,0.0,0.0,0.125,2021-07-05 05:09:47,4.5716240146472105
155,010101842021-07-04,1010184,129,600.7,85.81,18.428571428571427,7,4.66,0.5455,0.0,0.0,0.1925,2021-07-05 05:09:47,4.257605131886996
156,021110432021-07-04,2111043,124,598.7,85.53,17.714285714285715,7,4.83,0.6897,0.0,0.0,0.2808,2021-07-05 05:09:47,4.489728389856562
157,075513022021-07-04,7551302,127,597.56,85.37,18.142857142857142,7,4.71,0.8636,0.0,0.0079,0.0435,2021-07-05 05:09:47,4.599432665031421
158,010105312021-07-04,1010531,114,593.8,84.83,16.285714285714285,7,5.21,0.8214,0.0,0.0,0.1045,2021-07-05 05:09:47,4.293628711144344
159,010104482021-07-04,1010448,112,593.1,84.73,16.0,7,5.3,0.7692,0.0,0.0,0.1751,2021-07-05 05:09:47,4.228623052331576
160,0551100182021-07-04,55110018,130,593.0,84.71,18.571428571428573,7,4.56,0.6562,0.0226,0.0226,0.029,2021-07-05 05:09:47,4.213537088552398
161,0731100932021-07-04,73110093,40,338.6,84.65,10.0,4,8.46,0.625,0.0244,0.0244,0.1445,2021-07-05 05:09:47,1.8876641127254585
162,0551101912021-07-04,55110191,140,588.83,84.12,20.0,7,4.21,0.619,0.021,0.0,0.0455,2021-07-05 05:09:47,4.399742113488234
163,0592104142021-07-04,59210414,121,588.85,84.12,17.285714285714285,7,4.87,0.9048,0.0082,0.0,0.0526,2021-07-05 05:09:49,4.5091561631946835
164,028100212021-07-04,2810021,125,587.58,83.94,17.857142857142858,7,4.7,0.7188,0.053,0.0,0.279,2021-07-05 05:09:47,4.449322217093812
165,021110062021-07-04,2111006,137,587.12,83.87,19.571428571428573,7,4.29,0.7667,0.0,0.0,0.2487,2021-07-05 05:09:47,4.829913395569168
166,075510742021-07-04,7551074,121,582.31,83.19,17.285714285714285,7,4.81,0.8,0.0082,0.0082,0.0173,2021-07-05 05:09:47,4.242608215759044
167,075510052021-07-04,7551005,123,582.04,83.15,17.571428571428573,7,4.73,0.8125,0.0,0.0,0.1882,2021-07-05 05:09:47,4.510259922267304
168,0531100402021-07-04,53110040,114,580.06,82.87,16.285714285714285,7,5.09,0.875,0.0,0.0,0.2209,2021-07-05 05:09:47,4.449277608245968
169,075512992021-07-04,7551299,121,580.1,82.87,17.285714285714285,7,4.79,0.72,0.0,0.0,0.1615,2021-07-05 05:09:47,4.2623822553541615
170,028101592021-07-04,2810159,128,578.9,82.7,18.285714285714285,7,4.52,0.8182,0.0,0.0,0.1304,2021-07-05 05:09:47,4.555316630140076
171,010105462021-07-04,1010546,111,578.7,82.67,15.857142857142858,7,5.21,0.9,0.0,0.0,0.0699,2021-07-05 05:09:47,4.260242086521563
172,020102612021-07-04,2010261,112,577.74,82.53,16.0,7,5.16,0.8333,0.0,0.0,0.3354,2021-07-05 05:09:47,4.4419927650483935
173,029103372021-07-04,2910337,121,577.01,82.43,17.285714285714285,7,4.77,0.8696,0.0,0.0,0.2733,2021-07-05 05:09:47,4.635628422969706
174,025100952021-07-04,2510095,124,575.33,82.19,17.714285714285715,7,4.64,0.6429,0.0,0.0,0.0614,2021-07-05 05:09:47,4.0617023838677655
175,020101782021-07-04,2010178,112,573.8,81.97,16.0,7,5.12,0.72,0.0,0.0,0.1104,2021-07-05 05:09:47,3.97975730859409
176,0551100732021-07-04,55110073,114,573.5,81.93,16.285714285714285,7,5.03,0.7,0.0087,0.0087,0.1133,2021-07-05 05:09:47,3.9689334075610607
177,025102022021-07-04,2510202,119,573.39,81.91,17.0,7,4.82,0.9259,0.0,0.0,0.1392,2021-07-05 05:09:47,4.531836325758341
178,023100862021-07-04,2310086,105,408.08,81.62,21.0,5,3.89,0.7037,0.0187,0.0093,0.1013,2021-07-05 05:09:47,3.68298432641999
179,020103022021-07-04,2010302,86,406.8,81.36,17.2,5,4.73,0.7727,0.0,0.0,0.2955,2021-07-05 05:09:49,3.5329977684451532
180,0592101732021-07-04,59210173,125,569.0,81.29,17.857142857142858,7,4.55,0.8261,0.0234,0.0078,0.0127,2021-07-05 05:09:47,4.2940574759291525
181,021108412021-07-04,2110841,129,568.29,81.18,18.428571428571427,7,4.41,0.6897,0.0,0.0,0.2802,2021-07-05 05:09:47,4.458142295051432
182,025102192021-07-04,2510219,148,567.63,81.09,21.142857142857142,7,3.84,0.6071,0.0,0.0,0.0984,2021-07-05 05:09:47,4.5416573191431
183,021109282021-07-04,2110928,98,565.77,80.82,14.0,7,5.77,0.7714,0.0,0.0,0.2245,2021-07-05 05:09:47,3.8524044306708154
184,0571101742021-07-04,57110174,103,564.9,80.7,14.714285714285714,7,5.48,0.84,0.0,0.0,0.1703,2021-07-05 05:09:47,4.0206852598444485
185,010105622021-07-04,1010562,121,561.87,80.27,17.285714285714285,7,4.64,0.76,0.0,0.0,0.1471,2021-07-05 05:09:47,4.233092404139149
186,051100512021-07-04,5110051,116,561.1,80.16,16.571428571428573,7,4.84,0.6471,0.0,0.0,0.2783,2021-07-05 05:09:47,4.0569398667255445
187,0574102412021-07-04,57410241,119,560.2,80.03,17.0,7,4.71,0.875,0.0325,0.0244,0.142,2021-07-05 05:09:49,4.314350905984904
188,021110092021-07-04,2111009,98,558.2,79.74,14.0,7,5.7,0.5172,0.0,0.0,0.1281,2021-07-05 05:09:47,3.258083890523239
189,0574102402021-07-04,57410240,112,554.3,79.19,16.0,7,4.95,0.9545,0.0,0.0,0.1161,2021-07-05 05:09:49,4.314089740807787
190,010105472021-07-04,1010547,121,553.82,79.12,17.285714285714285,7,4.58,0.7391,0.0,0.0,0.119,2021-07-05 05:09:47,4.128060355444173
191,029101322021-07-04,2910132,124,550.86,78.69,17.714285714285715,7,4.44,0.72,0.0,0.0,0.1775,2021-07-05 05:09:47,4.208972120346621
192,010104772021-07-04,1010477,110,550.42,78.63,15.714285714285714,7,5.0,0.8696,0.0,0.0,0.1083,2021-07-05 05:09:47,4.091119220567677
193,0371101702021-07-04,37110170,116,550.4,78.63,16.571428571428573,7,4.74,0.7826,0.0,0.0,0.1488,2021-07-05 05:09:47,4.110538464351945
194,075513232021-07-04,7551323,121,549.6,78.51,17.285714285714285,7,4.54,0.76,0.0,0.0,0.0341,2021-07-05 05:09:47,4.054628809844271
195,027102162021-07-04,2710216,65,312.1,78.03,16.25,4,4.8,0.6071,0.0152,0.0152,0.1058,2021-07-05 05:09:47,2.345266451175878
196,025101752021-07-04,2510175,97,468.09,78.02,16.166666666666668,6,4.83,0.7917,0.0102,0.0204,0.12,2021-07-05 05:09:47,3.5447218690791034
197,028105152021-07-04,2810515,91,467.12,77.85,15.166666666666666,6,5.13,0.5758,0.0,0.0,0.0952,2021-07-05 05:09:49,3.0213756741771562
198,025101722021-07-04,2510172,108,544.9,77.84,15.428571428571429,7,5.05,0.75,0.0092,0.0,0.1633,2021-07-05 05:09:47,3.855493261384862
199,027101462021-07-04,2710146,122,544.02,77.72,17.428571428571427,7,4.46,0.84,0.0,0.0,0.08,2021-07-05 05:09:47,4.243300206537474
