,主键,机器编号,销量,销售额,日均销售额,点位日均销量,点位日,件单价,sku动销率,退款率,吐货失败率,缺货率,时间,PCA
1057,028104972021-07-04,2810497,55,239.42,34.2,7.857142857142857,7,4.35,0.7143,0.0,0.0,0.1156,2021-07-05 05:09:49,1.1297811411919692
1058,0574102572021-07-04,57410257,54,239.2,34.17,7.714285714285714,7,4.43,0.56,0.0,0.0,0.0405,2021-07-05 05:09:49,0.7516289265118055
1059,075514422021-07-04,7551442,46,239.1,34.16,6.571428571428571,7,5.2,0.7727,0.0,0.0,0.1739,2021-07-05 05:09:49,1.1162713038770733
1060,010103652021-07-04,1010365,50,239.04,34.15,7.142857142857143,7,4.78,0.5926,0.0,0.0,0.1429,2021-07-05 05:09:47,0.8380573967558067
1061,021101122021-07-04,2110112,55,239.0,34.14,7.857142857142857,7,4.35,0.75,0.0179,0.0,0.1635,2021-07-05 05:09:47,1.2226464145091245
1062,0551102912021-07-04,55110291,52,239.0,34.14,7.428571428571429,7,4.6,0.6429,0.0,0.0,0.0955,2021-07-05 05:09:49,0.917458856845452
1063,021100062021-07-04,2110006,55,238.9,34.13,7.857142857142857,7,4.34,0.4773,0.0179,0.0179,0.1973,2021-07-05 05:09:47,0.7472538988463424
1064,021104252021-07-04,2110425,62,204.69,34.12,10.333333333333334,6,3.3,0.4286,0.04,0.04,0.1111,2021-07-05 05:09:47,0.6226121842261734
1065,020101402021-07-04,2010140,52,238.8,34.11,7.428571428571429,7,4.59,0.56,0.0,0.0,0.1086,2021-07-05 05:09:47,0.7816257172821346
1066,021109882021-07-04,2110988,65,238.8,34.11,9.285714285714286,7,3.67,0.6,0.0,0.0,0.1111,2021-07-05 05:09:47,1.1273960398713672
1067,010105392021-07-04,1010539,47,238.63,34.09,6.714285714285714,7,5.08,0.6,0.0208,0.0208,0.1722,2021-07-05 05:09:47,0.772292807779073
1068,010105672021-07-04,1010567,47,238.6,34.09,6.714285714285714,7,5.08,0.64,0.0,0.0,0.2126,2021-07-05 05:09:47,0.9365699075119783
1069,027101122021-07-04,2710112,53,238.6,34.09,7.571428571428571,7,4.5,0.6552,0.0,0.0,0.0762,2021-07-05 05:09:47,0.9369057611038775
1070,020103062021-07-04,2010306,56,238.5,34.07,8.0,7,4.26,0.4483,0.0,0.0,0.1056,2021-07-05 05:09:49,0.6586092145243901
1071,0531101932021-07-04,53110193,50,238.46,34.07,7.142857142857143,7,4.77,0.7083,0.0,0.0,0.0765,2021-07-05 05:09:47,0.9714918846212263
1072,0551102892021-07-04,55110289,37,238.5,34.07,5.285714285714286,7,6.45,0.6129,0.0,0.0,0.0271,2021-07-05 05:09:49,0.5077358261857292
1073,027101212021-07-04,2710121,36,238.4,34.06,5.142857142857143,7,6.62,0.5484,0.0,0.0,0.1161,2021-07-05 05:09:47,0.4701237711584597
1074,025100222021-07-04,2510022,54,238.3,34.04,7.714285714285714,7,4.41,0.4474,0.0,0.0,0.0752,2021-07-05 05:09:47,0.5822050105863322
1075,028105172021-07-04,2810517,51,238.1,34.01,7.285714285714286,7,4.67,0.4545,0.0,0.0,0.0545,2021-07-05 05:09:49,0.5112372497046751
1076,021106292021-07-04,2110629,36,237.99,34.0,5.142857142857143,7,6.61,0.3824,0.0,0.0,0.0714,2021-07-05 05:09:47,0.12271591430075356
1077,023101192021-07-04,2310119,41,237.9,33.99,5.857142857142857,7,5.8,0.5278,0.0,0.0,0.04,2021-07-05 05:09:47,0.4349235916406901
1078,027100502021-07-04,2710050,54,237.85,33.98,7.714285714285714,7,4.4,0.5769,0.0182,0.0,0.3333,2021-07-05 05:09:47,1.0669502738293966
1079,010105812021-07-04,1010581,50,237.7,33.96,7.142857142857143,7,4.75,0.7727,0.0196,0.0,0.2327,2021-07-05 05:09:49,1.2272511025788868
1080,025101142021-07-04,2510114,27,237.7,33.96,3.857142857142857,7,8.8,0.3077,0.0,0.0,0.0421,2021-07-05 05:09:47,-0.16762188301849618
1081,0551100722021-07-04,55110072,53,237.7,33.96,7.571428571428571,7,4.48,0.5556,0.0,0.0,0.1182,2021-07-05 05:09:47,0.7985751624353815
1082,075511802021-07-04,7551180,52,237.7,33.96,7.428571428571429,7,4.57,0.72,0.037,0.0,0.1044,2021-07-05 05:09:47,1.01600100318047
1083,020102512021-07-04,2010251,51,237.44,33.92,7.285714285714286,7,4.66,0.6522,0.0,0.0196,0.1548,2021-07-05 05:09:47,0.9451707826898182
1084,021105312021-07-04,2110531,50,237.46,33.92,7.142857142857143,7,4.75,0.439,0.0,0.0,0.1085,2021-07-05 05:09:47,0.5179096318211018
1085,021112092021-07-04,2111209,51,237.16,33.88,7.285714285714286,7,4.65,0.6429,0.0,0.0,0.0106,2021-07-05 05:09:49,0.7970119309246421
1086,023101732021-07-04,2310173,55,237.1,33.87,7.857142857142857,7,4.31,0.64,0.0,0.0,0.0613,2021-07-05 05:09:47,0.9268908697949603
1087,0571101022021-07-04,57110102,42,237.0,33.86,6.0,7,5.64,0.56,0.0,0.0,0.1209,2021-07-05 05:09:47,0.5923355774319568
1088,029103522021-07-04,2910352,53,236.83,33.83,7.571428571428571,7,4.47,0.5833,0.0,0.0,0.2035,2021-07-05 05:09:49,0.9350796948521565
1089,0512100102021-07-04,51210010,44,236.84,33.83,6.285714285714286,7,5.38,0.6087,0.0435,0.0435,0.1739,2021-07-05 05:09:47,0.6687829907252794
1090,025102362021-07-04,2510236,53,236.7,33.81,7.571428571428571,7,4.47,0.5,0.0,0.0,0.1164,2021-07-05 05:09:47,0.6921610621011239
1091,051100412021-07-04,5110041,58,236.62,33.8,8.285714285714286,7,4.08,0.4444,0.0169,0.0,0.049,2021-07-05 05:09:47,0.6037769286952615
1092,023101092021-07-04,2310109,56,236.4,33.77,8.0,7,4.22,0.5405,0.0,0.0,0.0951,2021-07-05 05:09:47,0.801779365299722
1093,028103812021-07-04,2810381,56,236.4,33.77,8.0,7,4.22,0.65,0.0,0.0,0.0476,2021-07-05 05:09:47,0.9472025589219347
1094,029101172021-07-04,2910117,53,236.2,33.74,7.571428571428571,7,4.46,0.6667,0.0,0.0,0.1429,2021-07-05 05:09:47,1.0165825826786168
1095,021111892021-07-04,2111189,50,236.05,33.72,7.142857142857143,7,4.72,0.6667,0.02,0.0,0.0743,2021-07-05 05:09:49,0.8591030383124797
1096,0592103112021-07-04,59210311,45,236.04,33.72,6.428571428571429,7,5.25,0.5185,0.0,0.0,0.026,2021-07-05 05:09:47,0.46765353769772816
1097,0571100652021-07-04,57110065,48,236.0,33.71,6.857142857142857,7,4.92,0.5238,0.0,0.0,0.2063,2021-07-05 05:09:47,0.727393589348951
1098,021104012021-07-04,2110401,56,235.9,33.7,8.0,7,4.21,0.7037,0.0175,0.0,0.0909,2021-07-05 05:09:47,1.0671190501240608
1099,028101772021-07-04,2810177,46,235.8,33.69,6.571428571428571,7,5.13,0.6957,0.0,0.0,0.1607,2021-07-05 05:09:47,0.9469611880054367
1100,0371100802021-07-04,37110080,46,235.4,33.63,6.571428571428571,7,5.12,0.75,0.0,0.0,0.1587,2021-07-05 05:09:47,1.0399145584674638
1101,010100042021-07-04,1010004,51,235.3,33.61,7.285714285714286,7,4.61,0.5938,0.0377,0.0377,0.2398,2021-07-05 05:09:47,0.8544521267471804
1102,010104032021-07-04,1010403,48,235.2,33.6,6.857142857142857,7,4.9,0.6207,0.0,0.0213,0.149,2021-07-05 05:09:47,0.8091718733841256
1103,0531100952021-07-04,53110095,51,235.14,33.59,7.285714285714286,7,4.61,0.6333,0.0556,0.0,0.1095,2021-07-05 05:09:47,0.8114895123145985
1104,0571100662021-07-04,57110066,55,235.1,33.59,7.857142857142857,7,4.27,0.4571,0.0179,0.0,0.16,2021-07-05 05:09:47,0.6739382891313662
1105,0592103502021-07-04,59210350,52,235.1,33.59,7.428571428571429,7,4.52,0.6522,0.0,0.0,0.125,2021-07-05 05:09:47,0.9454599561080261
1106,075513612021-07-04,7551361,48,234.86,33.55,6.857142857142857,7,4.89,0.7826,0.0204,0.0204,0.092,2021-07-05 05:09:47,1.014208615548867
1107,021104532021-07-04,2110453,53,234.6,33.51,7.571428571428571,7,4.43,0.3902,0.0545,0.0,0.1071,2021-07-05 05:09:47,0.4124074456868722
1108,0551101082021-07-04,55110108,40,234.6,33.51,5.714285714285714,7,5.87,0.6522,0.0,0.0,0.1488,2021-07-05 05:09:47,0.7386660174908488
1109,0531100582021-07-04,53110058,57,234.42,33.49,8.142857142857142,7,4.11,0.7083,0.0,0.0,0.04,2021-07-05 05:09:47,1.0542100301193509
1110,021109432021-07-04,2110943,57,234.3,33.47,8.142857142857142,7,4.11,0.5417,0.0339,0.0339,0.3407,2021-07-05 05:09:47,0.9958384094397928
1111,053211072021-07-04,5321107,56,234.24,33.46,8.0,7,4.18,0.625,0.0,0.0,0.1143,2021-07-05 05:09:47,0.962612465901619
1112,020102782021-07-04,2010278,39,234.1,33.44,5.571428571428571,7,6.0,0.625,0.0,0.0,0.129,2021-07-05 05:09:47,0.6481739667783586
1113,021102972021-07-04,2110297,53,233.7,33.39,7.571428571428571,7,4.41,0.4516,0.0,0.0,0.2857,2021-07-05 05:09:47,0.770957105545385
1114,021109322021-07-04,2110932,52,233.7,33.39,7.428571428571429,7,4.49,0.5172,0.0189,0.0189,0.0603,2021-07-05 05:09:47,0.5821207838774002
1115,010103812021-07-04,1010381,47,233.61,33.37,6.714285714285714,7,4.97,0.5652,0.0,0.0,0.1964,2021-07-05 05:09:47,0.7588579161717011
1116,0371101532021-07-04,37110153,41,233.5,33.36,5.857142857142857,7,5.7,0.6786,0.0,0.0,0.0905,2021-07-05 05:09:47,0.7357612683766311
1117,053210102021-07-04,5321010,38,233.2,33.31,5.428571428571429,7,6.14,0.5769,0.0,0.0,0.2423,2021-07-05 05:09:47,0.6611099485125724
1118,020101552021-07-04,2010155,53,233.1,33.3,7.571428571428571,7,4.4,0.5833,0.0,0.0189,0.006,2021-07-05 05:09:47,0.6815299011098245
1119,0574100612021-07-04,57410061,57,233.0,33.29,8.142857142857142,7,4.09,0.44,0.0,0.0,0.1307,2021-07-05 05:09:47,0.663467982562504
1120,027100972021-07-04,2710097,46,232.6,33.23,6.571428571428571,7,5.06,0.64,0.0,0.0,0.1264,2021-07-05 05:09:47,0.793637189953427
1121,021100342021-07-04,2110034,68,232.51,33.22,9.714285714285714,7,3.42,0.5405,0.0145,0.0145,0.148,2021-07-05 05:09:47,1.0595152623424215
1122,0574101942021-07-04,57410194,57,232.5,33.21,8.142857142857142,7,4.08,0.4545,0.0,0.0,0.0297,2021-07-05 05:09:47,0.5787909744789053
1123,053210592021-07-04,5321059,45,232.4,33.2,6.428571428571429,7,5.16,0.9,0.0,0.0,0.0621,2021-07-05 05:09:47,1.1701838552225148
1124,0592102902021-07-04,59210290,30,232.4,33.2,4.285714285714286,7,7.75,0.4444,0.0323,0.0323,0.0451,2021-07-05 05:09:47,0.008626771506004114
1125,029103482021-07-04,2910348,53,232.24,33.18,7.571428571428571,7,4.38,0.6667,0.0,0.0,0.0214,2021-07-05 05:09:49,0.8662621614442447
1126,021108702021-07-04,2110870,43,232.16,33.17,6.142857142857143,7,5.4,0.5862,0.0,0.0,0.1827,2021-07-05 05:09:47,0.6981598385517409
1127,051100972021-07-04,5110097,59,232.2,33.17,8.428571428571429,7,3.94,0.5588,0.0,0.0169,0.2237,2021-07-05 05:09:47,0.9926441985618302
1128,0571101052021-07-04,57110105,55,231.9,33.13,7.857142857142857,7,4.22,0.68,0.0,0.0,0.1374,2021-07-05 05:09:47,1.0535587008449587
1129,0574100372021-07-04,57410037,62,231.9,33.13,8.857142857142858,7,3.74,0.5556,0.0,0.0,0.1354,2021-07-05 05:09:47,0.9753273338133097
1130,021105962021-07-04,2110596,51,231.7,33.1,7.285714285714286,7,4.54,0.7391,0.0,0.0,0.3684,2021-07-05 05:09:47,1.3234315765776923
1131,023101752021-07-04,2310175,60,231.5,33.07,8.571428571428571,7,3.86,0.6957,0.0164,0.0,0.0783,2021-07-05 05:09:47,1.1021410620780587
1132,028104752021-07-04,2810475,53,231.4,33.06,7.571428571428571,7,4.37,0.5385,0.0,0.0,0.1076,2021-07-05 05:09:49,0.7246214852029734
1133,021106052021-07-04,2110605,45,198.2,33.03,7.5,6,4.4,0.5357,0.0,0.0,0.3316,2021-07-05 05:09:47,0.7220127652689042
1134,023101972021-07-04,2310197,39,198.1,33.02,6.5,6,5.08,0.6,0.0,0.0,0.04,2021-07-05 05:09:49,0.3986258305196786
1135,0592103922021-07-04,59210392,53,230.96,32.99,7.571428571428571,7,4.36,0.5417,0.0,0.0,0.0714,2021-07-05 05:09:49,0.6892339672131791
1136,025102472021-07-04,2510247,53,230.7,32.96,7.571428571428571,7,4.35,0.6154,0.0,0.0,0.1534,2021-07-05 05:09:47,0.9074734387097111
1137,021101192021-07-04,2110119,48,230.6,32.94,6.857142857142857,7,4.8,0.6552,0.0,0.0,0.106,2021-07-05 05:09:47,0.8271693148761448
1138,021105662021-07-04,2110566,45,230.6,32.94,6.428571428571429,7,5.12,0.5714,0.0,0.0,0.2069,2021-07-05 05:09:47,0.7266592955335656
1139,010102342021-07-04,1010234,52,230.5,32.93,7.428571428571429,7,4.43,0.6,0.0,0.0,0.16,2021-07-05 05:09:47,0.8655437993456135
1140,053211252021-07-04,5321125,49,230.2,32.89,7.0,7,4.7,0.7826,0.0,0.0,0.12,2021-07-05 05:09:47,1.0884253630886398
1141,010103882021-07-04,1010388,44,230.1,32.87,6.285714285714286,7,5.23,0.5333,0.1538,0.0,0.0759,2021-07-05 05:09:47,0.32118985525617766
1142,075512862021-07-04,7551286,50,229.97,32.85,7.142857142857143,7,4.6,0.6364,0.0,0.0,0.1242,2021-07-05 05:09:47,0.8495417612175777
1143,051100222021-07-04,5110022,43,229.8,32.83,6.142857142857143,7,5.34,0.5758,0.0444,0.0,0.146,2021-07-05 05:09:47,0.5767600788658674
1144,021102682021-07-04,2110268,42,229.7,32.81,6.0,7,5.47,0.4048,0.0,0.0,0.0299,2021-07-05 05:09:47,0.17809444148207046
1145,010104282021-07-04,1010428,48,229.6,32.8,6.857142857142857,7,4.78,0.5,0.04,0.04,0.0619,2021-07-05 05:09:47,0.4016340893150947
1146,021109212021-07-04,2110921,52,229.5,32.79,7.428571428571429,7,4.41,0.4444,0.0,0.0,0.2596,2021-07-05 05:09:47,0.6880645752016545
1147,010104212021-07-04,1010421,47,229.34,32.76,6.714285714285714,7,4.88,0.6667,0.0,0.0,0.1558,2021-07-05 05:09:47,0.8750052154957476
1148,0574101972021-07-04,57410197,55,229.2,32.74,7.857142857142857,7,4.17,0.5429,0.0,0.0,0.0996,2021-07-05 05:09:47,0.7536347560347315
1149,0592103292021-07-04,59210329,27,196.42,32.74,4.5,6,7.27,0.6087,0.0,0.0,0.0662,2021-07-05 05:09:47,0.21534196556929405
1150,0371101002021-07-04,37110100,47,228.8,32.69,6.714285714285714,7,4.87,0.5833,0.0,0.0,0.1607,2021-07-05 05:09:47,0.7281553070212619
1151,051100942021-07-04,5110094,45,228.6,32.66,6.428571428571429,7,5.08,0.5556,0.0,0.0222,0.185,2021-07-05 05:09:47,0.6372032813479086
1152,010105192021-07-04,1010519,57,228.5,32.64,8.142857142857142,7,4.01,0.5833,0.0,0.0,0.0877,2021-07-05 05:09:47,0.8512478466764873
1153,023101042021-07-04,2310104,60,228.36,32.62,8.571428571428571,7,3.81,0.6154,0.0,0.0,0.1323,2021-07-05 05:09:47,1.0189601836372235
1154,051100752021-07-04,5110075,53,228.22,32.6,7.571428571428571,7,4.31,0.4783,0.0,0.0,0.118,2021-07-05 05:09:47,0.611464402966552
1155,021112072021-07-04,2111207,50,228.12,32.59,7.142857142857143,7,4.56,0.6923,0.0,0.0,0.1154,2021-07-05 05:09:49,0.9306430090592183
1156,025100982021-07-04,2510098,46,228.1,32.59,6.571428571428571,7,4.96,0.5152,0.0,0.0217,0.2059,2021-07-05 05:09:47,0.6044679288488594
1157,0551102262021-07-04,55110226,53,228.16,32.59,7.571428571428571,7,4.3,0.5909,0.0185,0.0,0.0683,2021-07-05 05:09:47,0.7382522418481611
1158,0731100642021-07-04,73110064,54,228.09,32.58,7.714285714285714,7,4.22,0.72,0.0,0.0,0.2333,2021-07-05 05:09:47,1.1872335076797136
1159,0531100742021-07-04,53110074,41,227.8,32.54,5.857142857142857,7,5.56,0.7333,0.0,0.0,0.0538,2021-07-05 05:09:47,0.7638519357811072
1160,010104492021-07-04,1010449,50,227.6,32.51,7.142857142857143,7,4.55,0.6296,0.0566,0.0,0.0745,2021-07-05 05:09:47,0.707143922503013
1161,027102242021-07-04,2710224,54,227.4,32.49,7.714285714285714,7,4.21,0.6818,0.0182,0.0,0.0823,2021-07-05 05:09:49,0.9333190227510302
1162,028104312021-07-04,2810431,45,227.4,32.49,6.428571428571429,7,5.05,0.4848,0.0,0.0,0.0935,2021-07-05 05:09:47,0.43358212576266064
1163,0731100212021-07-04,73110021,40,227.1,32.44,5.714285714285714,7,5.68,0.4839,0.0244,0.0,0.1557,2021-07-05 05:09:47,0.3761232287152708
1164,023100742021-07-04,2310074,56,226.98,32.43,8.0,7,4.05,0.5556,0.0,0.0,0.163,2021-07-05 05:09:47,0.853425733331636
1165,010106092021-07-04,1010609,35,162.1,32.42,7.0,5,4.63,0.6667,0.0,0.0,0.0,2021-07-05 05:09:49,0.2991321811262881
1166,010104912021-07-04,1010491,52,226.9,32.41,7.428571428571429,7,4.36,0.6538,0.0,0.0,0.0688,2021-07-05 05:09:47,0.8458122693992802
1167,0551100452021-07-04,55110045,43,226.21,32.32,6.142857142857143,7,5.26,0.5455,0.0,0.0,0.105,2021-07-05 05:09:47,0.5105013889062878
1168,010106002021-07-04,1010600,54,226.1,32.3,7.714285714285714,7,4.19,0.5417,0.0,0.0,0.1098,2021-07-05 05:09:49,0.7259460884601738
1169,023100622021-07-04,2310062,43,225.8,32.26,6.142857142857143,7,5.25,0.5938,0.0,0.0,0.1765,2021-07-05 05:09:47,0.6712328712299186
1170,0531100792021-07-04,53110079,52,225.72,32.25,7.428571428571429,7,4.34,0.75,0.0,0.0,0.1705,2021-07-05 05:09:47,1.121017274209745
1171,075511632021-07-04,7551163,54,225.77,32.25,7.714285714285714,7,4.18,0.4667,0.0357,0.0179,0.05,2021-07-05 05:09:47,0.4628250267315819
1172,0592102062021-07-04,59210206,53,225.6,32.23,7.571428571428571,7,4.26,0.6087,0.0364,0.1091,0.1056,2021-07-05 05:09:47,0.6418694325743819
1173,010105902021-07-04,1010590,46,225.3,32.19,6.571428571428571,7,4.9,0.6071,0.0,0.0,0.1034,2021-07-05 05:09:49,0.6717467944843244
1174,029101912021-07-04,2910191,49,225.3,32.19,7.0,7,4.6,0.8182,0.02,0.0,0.2857,2021-07-05 05:09:47,1.2809627326260014
1175,0371100872021-07-04,37110087,44,225.34,32.19,6.285714285714286,7,5.12,0.6207,0.0,0.0,0.2232,2021-07-05 05:09:47,0.785710640468844
1176,010100032021-07-04,1010003,46,225.2,32.17,6.571428571428571,7,4.9,0.5938,0.0213,0.0426,0.1392,2021-07-05 05:09:47,0.6086181516046665
1177,010103432021-07-04,1010343,52,225.1,32.16,7.428571428571429,7,4.33,0.6,0.0,0.0,0.0604,2021-07-05 05:09:47,0.7314665181955206
1178,010105592021-07-04,1010559,52,225.1,32.16,7.428571428571429,7,4.33,0.56,0.0,0.0,0.2143,2021-07-05 05:09:47,0.824275974577311
1179,0574100772021-07-04,57410077,48,224.9,32.13,6.857142857142857,7,4.69,0.75,0.0204,0.0,0.1314,2021-07-05 05:09:47,0.9715383422038323
1180,021111332021-07-04,2111133,54,224.8,32.11,7.714285714285714,7,4.16,0.5,0.0182,0.0,0.2273,2021-07-05 05:09:49,0.7490433656726923
1181,021107292021-07-04,2110729,53,224.7,32.1,7.571428571428571,7,4.24,0.5484,0.0,0.0,0.2163,2021-07-05 05:09:47,0.8239326054861104
1182,027101092021-07-04,2710109,52,224.68,32.1,7.428571428571429,7,4.32,0.7391,0.0,0.0,0.1497,2021-07-05 05:09:47,1.0738816400249893
1183,0574101442021-07-04,57410144,49,224.7,32.1,7.0,7,4.59,0.6,0.0,0.0,0.0791,2021-07-05 05:09:47,0.6889931430075211
1184,021102872021-07-04,2110287,49,224.6,32.09,7.0,7,4.58,0.56,0.0,0.0,0.1593,2021-07-05 05:09:47,0.7022523605961806
1185,051100712021-07-04,5110071,54,224.56,32.08,7.714285714285714,7,4.16,0.5769,0.0,0.0,0.2959,2021-07-05 05:09:47,0.9799542514808857
1186,0551102152021-07-04,55110215,50,224.39,32.06,7.142857142857143,7,4.49,0.7917,0.0196,0.0196,0.0686,2021-07-05 05:09:47,0.9929736543473948
1187,0574102442021-07-04,57410244,57,224.4,32.06,8.142857142857142,7,3.94,0.5806,0.0,0.0,0.0483,2021-07-05 05:09:49,0.7836336286542759
1188,0571101652021-07-04,57110165,46,224.2,32.03,6.571428571428571,7,4.87,0.6667,0.0,0.0,0.0514,2021-07-05 05:09:47,0.7168854078953368
1189,021109632021-07-04,2110963,52,224.0,32.0,7.428571428571429,7,4.31,0.5357,0.0,0.0,0.2365,2021-07-05 05:09:47,0.7988047777978835
1190,029101222021-07-04,2910122,46,223.8,31.97,6.571428571428571,7,4.87,0.6818,0.0,0.0,0.1509,2021-07-05 05:09:47,0.8484925067930049
1191,0551100552021-07-04,55110055,41,223.7,31.96,5.857142857142857,7,5.46,0.6957,0.0,0.0,0.1131,2021-07-05 05:09:47,0.73795560599688
1192,075511512021-07-04,7551151,48,223.68,31.95,6.857142857142857,7,4.66,0.64,0.0,0.0,0.0,2021-07-05 05:09:47,0.6507053366124195
1193,021111482021-07-04,2111148,53,223.51,31.93,7.571428571428571,7,4.22,0.5185,0.0,0.0,0.2143,2021-07-05 05:09:49,0.7622142583510397
1194,0531101392021-07-04,53110139,48,223.4,31.91,6.857142857142857,7,4.65,0.625,0.0,0.0,0.0571,2021-07-05 05:09:47,0.6832220886575238
1195,021111732021-07-04,2111173,52,223.32,31.9,7.428571428571429,7,4.29,0.5152,0.0,0.0,0.1048,2021-07-05 05:09:49,0.6174962770317887
1196,020102502021-07-04,2010250,38,223.1,31.87,5.428571428571429,7,5.87,0.5652,0.0,0.0,0.0479,2021-07-05 05:09:47,0.3772902431731104
1197,0731101122021-07-04,73110112,46,223.1,31.87,6.571428571428571,7,4.85,0.5312,0.0,0.0,0.1991,2021-07-05 05:09:47,0.626305388921559
1198,020101892021-07-04,2010189,43,191.1,31.85,7.166666666666667,6,4.44,0.5417,0.0,0.0,0.0828,2021-07-05 05:09:47,0.38363549200855124
1199,010101922021-07-04,1010192,49,222.9,31.84,7.0,7,4.55,0.6,0.0,0.0,0.1758,2021-07-05 05:09:47,0.7828045514506637
1200,028102622021-07-04,2810262,50,222.9,31.84,7.142857142857143,7,4.46,0.6087,0.0,0.0,0.0595,2021-07-05 05:09:47,0.6941871111496339
1201,028103332021-07-04,2810333,56,222.8,31.83,8.0,7,3.98,0.5,0.0,0.0,0.1905,2021-07-05 05:09:47,0.7620567606031018
1202,028104472021-07-04,2810447,47,222.8,31.83,6.714285714285714,7,4.74,0.56,0.0,0.0,0.1044,2021-07-05 05:09:47,0.5946949916622054
1203,029102902021-07-04,2910290,50,222.7,31.81,7.142857142857143,7,4.45,0.5652,0.0566,0.0,0.118,2021-07-05 05:09:47,0.6127756562421376
1204,0531100492021-07-04,53110049,51,222.6,31.8,7.285714285714286,7,4.36,0.7037,0.0,0.0,0.199,2021-07-05 05:09:47,1.0318912501505162
1205,0574102382021-07-04,57410238,55,222.5,31.79,7.857142857142857,7,4.05,0.619,0.0,0.0,0.0795,2021-07-05 05:09:49,0.8344599519135028
1206,010103052021-07-04,1010305,46,222.36,31.77,6.571428571428571,7,4.83,0.5217,0.0,0.0,0.2083,2021-07-05 05:09:47,0.615150818929599
1207,0531101872021-07-04,53110187,49,222.4,31.77,7.0,7,4.54,0.5667,0.0392,0.0,0.2535,2021-07-05 05:09:47,0.7588085013428462
1208,021103932021-07-04,2110393,45,222.3,31.76,6.428571428571429,7,4.94,0.5385,0.0,0.0,0.0838,2021-07-05 05:09:47,0.49264940032649857
1209,021101202021-07-04,2110120,46,222.26,31.75,6.571428571428571,7,4.83,0.375,0.0213,0.0213,0.2512,2021-07-05 05:09:47,0.3469501175465211
1210,051210872021-07-04,5121087,56,221.7,31.67,8.0,7,3.96,0.6316,0.0175,0.0175,0.3028,2021-07-05 05:09:49,1.0705490891280494
1211,0731100822021-07-04,73110082,27,221.6,31.66,3.857142857142857,7,8.21,0.5,0.0,0.0,0.2294,2021-07-05 05:09:47,0.28261733391509297
1212,020102382021-07-04,2010238,46,221.5,31.64,6.571428571428571,7,4.82,0.7391,0.0213,0.0,0.0663,2021-07-05 05:09:47,0.824292630573428
1213,0592104032021-07-04,59210403,50,221.0,31.57,7.142857142857143,7,4.42,0.5,0.0,0.0,0.0974,2021-07-05 05:09:49,0.5300300262789553
1214,025102622021-07-04,2510262,44,220.9,31.56,6.285714285714286,7,5.02,0.7692,0.0,0.0,0.0476,2021-07-05 05:09:49,0.8406983532921575
1215,075514222021-07-04,7551422,47,220.9,31.56,6.714285714285714,7,4.7,0.5862,0.0,0.0,0.148,2021-07-05 05:09:49,0.6783253489027441
1216,021100642021-07-04,2110064,48,220.75,31.54,6.857142857142857,7,4.6,0.7619,0.0,0.0,0.1355,2021-07-05 05:09:47,0.998804410859639
1217,0371100582021-07-04,37110058,42,220.6,31.51,6.0,7,5.25,0.8571,0.0,0.0,0.1818,2021-07-05 05:09:47,1.102081921744738
1218,0592102652021-07-04,59210265,53,220.6,31.51,7.571428571428571,7,4.16,0.4348,0.0,0.0,0.131,2021-07-05 05:09:47,0.5080113629983991
1219,0731100782021-07-04,73110078,54,220.6,31.51,7.714285714285714,7,4.09,0.6,0.0,0.0,0.1829,2021-07-05 05:09:47,0.8803722328042454
1220,0551100712021-07-04,55110071,52,220.21,31.46,7.428571428571429,7,4.23,0.5833,0.0,0.0,0.0385,2021-07-05 05:09:47,0.652689246174571
1221,021101182021-07-04,2110118,48,219.9,31.41,6.857142857142857,7,4.58,0.5517,0.0,0.0,0.0784,2021-07-05 05:09:47,0.5565196198674889
1222,029102592021-07-04,2910259,24,219.9,31.41,3.4285714285714284,7,9.16,0.5417,0.0,0.0,0.12,2021-07-05 05:09:47,0.20064629224225025
1223,075514232021-07-04,7551423,47,219.6,31.37,6.714285714285714,7,4.67,0.52,0.0,0.0,0.039,2021-07-05 05:09:49,0.4362629394718746
1224,0531101602021-07-04,53110160,43,219.4,31.34,6.142857142857143,7,5.1,0.7419,0.0,0.0,0.0233,2021-07-05 05:09:47,0.7386965300891567
1225,021106342021-07-04,2110634,42,219.22,31.32,6.0,7,5.22,0.5625,0.0233,0.0233,0.0345,2021-07-05 05:09:47,0.35423562917564827
1226,028102832021-07-04,2810283,53,219.2,31.31,7.571428571428571,7,4.14,0.6522,0.0,0.0,0.0833,2021-07-05 05:09:47,0.839616242977413
1227,028104112021-07-04,2810411,34,219.0,31.29,4.857142857142857,7,6.44,0.7143,0.0,0.0,0.0195,2021-07-05 05:09:47,0.5245908759709492
1228,021108862021-07-04,2110886,40,218.8,31.26,5.714285714285714,7,5.47,0.5517,0.0244,0.0244,0.131,2021-07-05 05:09:47,0.3962775215922074
1229,021101682021-07-04,2110168,58,218.77,31.25,8.285714285714286,7,3.77,0.6207,0.0492,0.0492,0.2714,2021-07-05 05:09:47,0.9689903430287772
1230,021104362021-07-04,2110436,26,218.7,31.24,3.7142857142857144,7,8.41,0.44,0.0,0.0,0.1344,2021-07-05 05:09:47,0.04531071853841035
1231,0551101502021-07-04,55110150,51,218.6,31.23,7.285714285714286,7,4.29,0.5357,0.0,0.0,0.0952,2021-07-05 05:09:47,0.5996626859030789
